#Title : in-situ files catalog
#Description : catalog of available in-situ files compliant with Marine Data Store
#Project : Copernicus Marine In Situ TAC
#Format Version : 3.0
#Last Update : 2026-05-06T13:06:06Z
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-ICATMAR-GNST_20260406.nc,40.5,43.5,1.0,4.3,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,Direcció General de Política Marítima i Pesca Sostenible – Generalitat de Catalunya,2026-04-07T00:38:38Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-ICATMAR-PBCN_20260406.nc,40.5,43.5,1.0,4.3,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,Direcció General de Política Marítima i Pesca Sostenible – Generalitat de Catalunya,2026-04-07T00:38:44Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-Ibiza-FORM_20260406.nc,38.3095,39.12019,0.48664,1.4179,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,SOCIB - Balearic Islands Coastal Observing and forecasting System,2026-04-06T23:52:29Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-Ibiza-GALF_20260406.nc,38.3095,39.12019,0.48664,1.4179,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,SOCIB - Balearic Islands Coastal Observing and forecasting System,2026-04-06T23:52:32Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-NAdr-AURI_20260406.nc,45.5269,45.7833,13.375,13.7806,2026-04-05T23:45:00Z,2026-04-06T23:45:00Z,Istituto Nazionale di Oceanografia e di Geofisica Sperimentale - OGS,2026-04-07T00:19:40Z,R, DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-NAdr-IZOL_20260406.nc,45.5269,45.7833,13.375,13.7806,2026-04-05T23:45:00Z,2026-04-06T23:45:00Z,NIB - Nacionalni inštitut za biologijo,2026-04-07T00:10:16Z,R, DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-NAdr-PIRA_20260406.nc,45.5269,45.7833,13.375,13.7806,2026-04-05T23:45:00Z,2026-04-06T23:45:00Z,Ministry of the Environment - Climate and Energy - Slovenian Environment Agency - ARSO,2026-04-07T00:10:22Z,R, DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-TirLig-PCOR_20260406.nc,43.25,44.5,7.5,10.5,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,National Research Council - Institute of Marine Science - S.S. Lerici,2026-04-06T23:57:02Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-TirLig-PFIN_20260406.nc,43.25,44.5,7.5,10.5,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,National Research Council - Institute of Marine Science - S.S. Lerici,2026-04-06T23:51:41Z,R, RNGE BEAR DEPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/latest/20260406/GL_RV_HF_HFR-TirLig-TINO_20260406.nc,43.25,44.5,7.5,10.5,2026-04-05T23:30:00Z,2026-04-06T23:30:00Z,National Research Council - Institute of Marine Science - S.S. Lerici,2026-04-06T23:51:37Z,R, RNGE BEAR DEPH
