#Title : in-situ files catalog
#Description : catalog of available in-situ files compliant with Marine Data Store
#Project : Copernicus Marine In Situ TAC
#Format Version : 3.0
#Last Update : 2026-05-05T01:39:04Z
#catalog_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EBDK.nc,27.50000,37.53470,-17.86700,-0.14720,1966-08-27T08:00:00Z,1987-03-26T23:55:00Z,Hydrographic Institute of the Navy,2025-04-15T18:54:07Z,R, DEPH PRES TEMP PSAL DOX1
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EBHL.nc,27.23300,39.68000,-18.54200,0.24500,1966-08-21T04:00:00Z,1980-08-09T00:00:00Z,Unknown institution,2025-04-15T17:12:25Z,R, DEPH TEMP PSAL DOX1 FLU2 NTRA PHOS PHPH SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EDSV.nc,13.46700,66.33000,-46.68950,33.52000,1971-08-18T02:00:00Z,2010-02-20T14:55:00Z,IEO-CSIC - Spanish Oceanographic Institute,2026-04-10T21:31:11Z,R, DEPH PRES TEMP PSAL DOXY DOX1 DOX2 ALK3 ALKW ALKY AMON AMOW CPHL FLU2 NTAW NTIW NTRA NTRI NTRZ PH25 PHOS PHOW PHPH SLCA SLCW TICW
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EGES.nc,35.18330,43.91770,-7.34583,1.13670,1990-01-30T00:00:00Z,1996-07-13T12:00:00Z,IEO-CSIC - Spanish Oceanographic Institute,2025-04-15T16:13:05Z,R, DEPH PRES TEMP PSAL DOXY DOX1 CPHL NTRA NTRI NTRZ PHOS PHPH SLCA
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EGYR.nc,35.90500,36.80000,-5.13670,-2.10000,1982-05-09T16:42:00Z,1982-08-28T13:00:00Z,Unknown institution,2025-04-15T16:23:17Z,R, DEPH PRES TEMP PSAL
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EHUU.nc,35.17000,47.03000,-11.43000,11.07400,1979-08-05T05:10:00Z,2012-09-15T00:00:00Z,IEO-CSIC - Spanish Oceanographic Institute;CSIC - Marine Technology Unit,2026-03-21T19:18:02Z,R, DEPH PRES TEMP PSAL DOXY DOX1 DOX2 ALKW AMON C13D CPHL NTAW NTIW NTRA NTRI NTRZ O18D PH25 PHOS PHOW PHPH SLCA SLCW TICW
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_ENEN.nc,33.57000,44.80000,9.82000,20.68000,1977-02-10T23:00:00Z,1977-04-10T03:00:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre - National Oceanographic Data Centre (NODC),2025-04-15T17:44:12Z,R, DEPH TEMP PSAL DOX1
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_ENHU.nc,35.90000,62.90000,-17.53000,38.05000,1981-01-15T23:00:00Z,1985-05-30T16:00:00Z,Unknown institution,2025-04-15T18:05:01Z,R, DEPH TEMP PSAL DOX1 PHPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EOHF.nc,2.48330,53.78000,-54.01670,40.85000,1989-07-10T11:19:12Z,1992-04-29T15:00:00Z,Unknown institution,2025-04-15T16:10:52Z,R, DEPH PRES TEMP PSAL DOX1 ALK3 PHOS PHPH
COP-MO-01,INSITU_MED_PHYBGCWAV_DISCRETE_MYNRT_013_035/cmems_obs-ins_med_phybgcwav_mynrt_na_irr_202311/history/BO/GL_PR_BO_EREA.nc,-15.00000,65.70000,-35.00000,-0.01700,1958-07-06T14:00:00Z,1991-06-27T06:30:00Z,All-Russia Research Institute of Hydrometeorological Information - World Data Centre - National Oceanographic Data Centre (NODC),2025-04-15T18:12:37Z,R, DEPH PRES TEMP PSAL DOXY DOX1 ALKY NTRA NTRI NTRZ PHOS PHPH SLCA
